character,x,y,meaning,pinying
一,-26.9961179,3.063786503,one,yi1
丁,38.47795931,8.865551129,fourth of the ten Heavenly Stems 十天干[shi2 tian1 gan1],ding1
七,3.745194583,-6.921591693,seven,qi1
万,69.41341687,24.73849173,ten thousand,wan4
丈,4.529552434,0.394643324,"measure of length, ten Chinese feet (3.3 m)",zhang4
三,23.43717273,-3.435576001,three,san1
上,4.74840573,-7.417337163,on top,shang4
下,43.52236156,8.586235456,down,xia4
不,39.47946539,8.982623676,(negative prefix),bu4
与,33.14072564,-10.73984348,to take part in,yu4
丐,56.85638831,1.802676407,variant of 丐[gai4],gai4
丑,34.58671007,17.02519866,shameful,chou3
专,-37.38024467,-14.10292912,variant of 專|专[zhuan1],zhuan1
且,40.27923289,-5.124539985,and,qie3
世,0.312070657,-50.59198567,life,shi4
丘,36.1400092,-28.37294996,variant of 丘[qiu1],qiu1
业,-13.46085529,-16.13524081,line of business,ye4
丛,14.13035766,-2.641560565,cluster,cong2
东,-40.81909073,2.816270096,east,dong1
丝,14.76337793,-2.898512938,silk,si1
丢,-54.71484249,-11.05884868,to lose,diu1
两,73.99356584,31.61431806,two,liang3
严,26.45190023,-2.129712415,tight (closely sealed),yan2
丧,-38.13188359,1.980396137,"to lose sth abstract but important (courage, authority, one's life etc)",sang4
个,-25.16214953,13.37419002,variant of 個|个[ge4],ge4
丫,-25.1921543,13.29052584,fork,ya1
中,-21.41806302,8.04125222,to hit (the mark),zhong4
丰,-30.44531226,10.27648794,abundant,feng1
串,-59.21236291,-13.85728967,to string together,chuan4
临,25.43127362,73.795324,to face,lin2
丸,1.15626407,1.597594378,ball,wan2
丹,45.05529437,-7.367857311,red,dan1
为,-8.626286408,5.108340552,"variant of 為|为[wei4], because of",wei4
主,7.209965594,-15.18269729,owner,zhu3
丽,69.14277413,30.2805914,beautiful,li4
举,-29.59515366,20.84242129,to lift,ju3
乃,70.49204776,24.68699953,variant of 乃[nai3],nai3
久,-5.411783629,10.35992869,(long) time,jiu3
么,-3.374098185,9.399040429,variant of 麼|么[me5],me5
义,-12.83477636,5.117938757,justice,yi4
之,-13.18676959,13.61485855,"(possessive particle, literary equivalent of 的[de5])",zhi1
乌,-69.20796763,-5.959908888,crow,wu1
乎,-22.91196636,19.68961721,(classical particle similar to 於|于[yu2]) in,hu1
乏,20.15332488,-8.73195975,short of,fa2
乐,31.81709667,6.669589917,music,yue4
乒,17.73412433,4.168079881,(onom.) ping,ping1
乓,17.80616265,4.173284135,(onom.) bang,pang1
乔,16.03956209,3.790905923,tall,qiao2
乖,-24.53102105,20.5296764,"(of a child) obedient, well-behaved",guai1
乘,-51.24810124,17.15853139,old variant of 乘[cheng2],cheng2
乙,36.74490351,20.45373068,turning stroke (in Chinese characters),zhe2
九,1.074487806,1.418081738,nine,jiu3
乞,-1.516768163,15.24245884,to beg,qi3
也,12.0427743,-41.10897386,also,ye3
习,67.64284262,27.60221373,to practice,xi2
乡,-13.67163423,2.212405216,country or countryside,xiang1
书,-17.69562991,21.49687175,book,shu1
买,-63.43103915,25.56457464,to buy,mai3
乱,11.01741592,14.34125933,in confusion or disorder,luan4
乳,15.72663853,22.24864925,breast,ru3
乾,-1.928986638,50.74655643,variant of 乾[qian2],qian2
了,38.81425785,8.942225387,unofficial variant of 瞭[liao4],liao4
予,38.71263418,11.22959014,to give,yu3
争,-56.51931424,-29.10191041,to strive for,zheng1
事,-75.8529879,55.26574945,matter,shi4
二,22.82821725,-3.76909786,two,er4
于,38.16574129,7.261675919,in,yu2
亏,56.68959691,1.006625512,deficiency,kui1
云,36.37259696,3.37860275,cloud,yun2
互,20.29321418,-6.555555663,mutual,hu4
五,35.8277937,18.03103574,five,wu3
井,-0.488132314,0.394955722,a well,jing3
亚,-13.56878032,-16.30793744,Asia,ya4
些,4.585394297,-16.83371242,some,xie1
亡,12.30198986,-43.09962006,old variant of 亡[wang2],wang2
交,-75.88304915,-7.636789055,to hand over,jiao1
亦,-29.37776507,-7.877029182,also,yi4
产,-30.28854217,1.121206594,to give birth,chan3
亨,-86.30173093,-0.115353549,prosperous,heng1
亩,-78.22837161,-47.46575229,old variant of 畝|亩[mu3],mu3
享,-61.76815253,35.03053151,old variant of 享[xiang3],xiang3
京,-70.52667831,-14.55560533,capital city of a country,jing1
亭,-61.64103522,36.65618262,pavilion,ting2
亮,6.275882202,3.165097711,bright,liang4
亲,-60.11843166,14.12718001,parents-in-law of one's offspring,qing4
人,-7.245927205,8.932151101,man,ren2
亿,-3.475340652,-48.18831966,100 million,yi4
什,-0.600737599,-27.13680265,"ten (used in fractions, writing checks etc)",shi2
仁,11.49852211,-26.84567293,humane,ren2
仅,-9.323508928,-47.03717585,barely,jin3
仆,33.21672812,-43.40582065,servant,pu2
仇,1.677699593,-55.53916413,spouse,qiu2
今,-38.27431344,-25.87671576,today,jin1
介,-2.499401825,4.690621273,to introduce,jie4
仍,49.75006762,-39.10592929,still,reng2
从,9.190530482,18.41719316,second cousin,zong4
仓,35.87353298,-27.66674976,barn,cang1
仔,49.87707626,-27.49116212,meticulous,zi3
他,7.09086413,-25.46792487,he or him,ta1
仗,8.419096422,-43.94000709,weaponry,zhang4
付,13.98596837,-48.94606037,to pay,fu4
仙,60.62655944,-26.15269359,variant of 仙[xian1],xian1
代,12.681456,-25.56340735,to substitute,dai4
令,-25.50991667,2.644815216,to order,ling4
以,-1.056085496,-5.079112457,to use,yi3
仪,-9.63011312,-47.37619225,apparatus,yi2
们,-3.610573135,-49.46534758,"plural marker for pronouns, and nouns referring to individuals",men5
仰,60.08256893,-25.72328098,to face upward,yang3
仲,3.920874491,-30.6830724,second month of a season,zhong4
件,4.537436587,-30.76910811,item,jian4
价,11.19278373,-38.37827748,great,jie5
任,52.55159819,-28.73895305,to assign,ren4
份,18.0516262,-45.92219549,"classifier for gifts, newspaper, magazine, papers, reports, contracts etc",fen4
仿,17.13092373,-45.15716717,seemingly,fang3
企,8.865357755,-13.1055957,to plan a project,qi3
伊,61.06052405,4.975935892,he,yi1
伍,53.3343843,-34.40278057,squad of five soldiers,wu3
伏,9.196796647,-35.12577755,to lean over,fu2
伐,12.7764497,-25.4668941,to cut down,fa2
休,3.342318273,-32.59554764,to rest,xiu1
众,-5.035841748,9.84396094,variant of 眾|众[zhong4],zhong4
优,-8.11778751,-55.14247274,excellent,you1
伙,9.668903062,-35.99814775,companion,huo3
会,-2.692521951,10.90887481,to balance an account,kuai4
伞,-27.24259971,10.93961829,damask silk,san3
伟,-40.58763676,-29.7826608,big,wei3
传,-18.68895374,-46.09017494,biography,zhuan4
伤,-21.6128814,-4.56484856,to injure,shang1
伦,-4.984309491,-47.11956541,human relationship,lun2
伪,-6.332958296,-52.65529157,variant of 偽|伪[wei3],wei3
伯,74.45338471,-46.20494636,father's elder brother,bo2
估,5.024647734,-34.32262026,old,gu4
伴,0.155513828,-31.68712714,partner,ban4
伸,-0.489060536,-32.95389631,to stretch,shen1
似,-7.023621286,-47.6378903,old variant of 似[si4],si4
但,62.63878728,-39.28521468,but,dan4
位,9.800466842,-42.71007794,position,wei4
低,11.49181926,-20.65356388,low,di1
住,6.290886324,-31.53011499,to live,zhu4
佐,6.533921761,-41.76842987,to assist,zuo3
体,3.0906967,-32.84085251,body,ti3
何,56.3406041,-10.37152547,what,he2
余,-58.07719815,-9.916384645,extra,yu2
佛,-25.08874231,-65.88023455,(female) head ornament,fu2
作,-0.193460151,-34.59735525,to do,zuo4
你,-0.016525832,-33.96445964,"you (informal, as opposed to courteous 您[nin2])",ni3
佣,58.61626662,-24.6984068,to hire,yong1
佩,47.21453297,-5.445982687,girdle ornaments,pei4
佳,-14.73870988,-43.90228181,beautiful,jia1
使,-40.76754448,-73.45836381,to make,shi3
侄,54.28408949,-31.77183227,nephew by the male line,zhi2
例,-3.693543583,-54.35472101,example,li4
侍,-39.05229647,-72.97464614,to serve,shi4
供,0.709132299,-57.09300484,sacrificial offering,gong4
依,8.724435374,-44.31424037,to depend on,yi1
侠,-11.03170917,-46.67386164,knight-errant,xia2
侣,-5.62419833,-44.95941977,companion,lu:3
侦,-10.16817181,-48.53723029,old variant of 偵|侦[zhen1],zhen1
侧,62.1511654,51.14705904,lean on one side,zhai1
侨,-7.08141289,-52.02865478,emigrant,qiao2
侮,-31.67756134,-70.10847041,to insult,wu3
侯,74.51666639,-17.98716799,"marquis, second of the five orders of ancient Chinese nobility 五等爵位[wu3 deng3 jue2 wei4]",hou2
