character,x,y
一,-26.9961179,3.063786503
丁,38.47795931,8.865551129
七,3.745194583,-6.921591693
万,69.41341687,24.73849173
丈,4.529552434,0.394643324
三,23.43717273,-3.435576001
上,4.74840573,-7.417337163
下,43.52236156,8.586235456
不,39.47946539,8.982623676
与,33.14072564,-10.73984348
丐,56.85638831,1.802676407
丑,34.58671007,17.02519866
专,-37.38024467,-14.10292912
且,40.27923289,-5.124539985
世,0.312070657,-50.59198567
丘,36.1400092,-28.37294996
业,-13.46085529,-16.13524081
丛,14.13035766,-2.641560565
东,-40.81909073,2.816270096
丝,14.76337793,-2.898512938
丢,-54.71484249,-11.05884868
两,73.99356584,31.61431806
严,26.45190023,-2.129712415
丧,-38.13188359,1.980396137
个,-25.16214953,13.37419002
丫,-25.1921543,13.29052584
中,-21.41806302,8.04125222
丰,-30.44531226,10.27648794
串,-59.21236291,-13.85728967
临,25.43127362,73.795324
丸,1.15626407,1.597594378
丹,45.05529437,-7.367857311
为,-8.626286408,5.108340552
主,7.209965594,-15.18269729
丽,69.14277413,30.2805914
举,-29.59515366,20.84242129
乃,70.49204776,24.68699953
久,-5.411783629,10.35992869
么,-3.374098185,9.399040429
义,-12.83477636,5.117938757
之,-13.18676959,13.61485855
乌,-69.20796763,-5.959908888
乎,-22.91196636,19.68961721
乏,20.15332488,-8.73195975
乐,31.81709667,6.669589917
乒,17.73412433,4.168079881
乓,17.80616265,4.173284135
乔,16.03956209,3.790905923
乖,-24.53102105,20.5296764
乘,-51.24810124,17.15853139
乙,36.74490351,20.45373068
九,1.074487806,1.418081738
乞,-1.516768163,15.24245884
也,12.0427743,-41.10897386
习,67.64284262,27.60221373
乡,-13.67163423,2.212405216
书,-17.69562991,21.49687175
买,-63.43103915,25.56457464
乱,11.01741592,14.34125933
乳,15.72663853,22.24864925
乾,-1.928986638,50.74655643
了,38.81425785,8.942225387
予,38.71263418,11.22959014
争,-56.51931424,-29.10191041
事,-75.8529879,55.26574945
二,22.82821725,-3.76909786
于,38.16574129,7.261675919
亏,56.68959691,1.006625512
云,36.37259696,3.37860275
互,20.29321418,-6.555555663
五,35.8277937,18.03103574
井,-0.488132314,0.394955722
亚,-13.56878032,-16.30793744
些,4.585394297,-16.83371242
亡,12.30198986,-43.09962006
交,-75.88304915,-7.636789055
亦,-29.37776507,-7.877029182
产,-30.28854217,1.121206594
亨,-86.30173093,-0.115353549
亩,-78.22837161,-47.46575229
享,-61.76815253,35.03053151
京,-70.52667831,-14.55560533
亭,-61.64103522,36.65618262
亮,6.275882202,3.165097711
亲,-60.11843166,14.12718001
人,-7.245927205,8.932151101
亿,-3.475340652,-48.18831966
什,-0.600737599,-27.13680265
仁,11.49852211,-26.84567293
