character,x,y
一, 1.86835656232, 6.64764301666
丁, 1.897626822, 5.53834312553
七, 2.01853201232, 7.95267060255
万, 0.528238332949, 6.97181662262
丈, 1.4823105254, 6.49390460039
三, 1.77307006783, 7.53072804902
上, 1.62612722233, 7.91669492984
下, 1.58997204569, 7.97387371519
不, 1.64644605841, 5.80298618363
与, 2.49960698049, 7.3083038702
丐, 1.96389325886, 6.44767575988
丑, 2.26296926304, 6.01989484586
专, 2.09511805088, 8.16423651928
且, 2.69515548131, 6.98288844405
世, 2.80700752069, 7.23903212156
丘, 1.79034178627, 8.07350555099
业, 1.01713443674, 7.38701223781
丛, 1.51451096965, 8.05408915152
东, 2.08917548807, 5.65225409548
丝, 1.83937153204, 7.4586116897
丢, 1.70564080926, 6.03316099429
两, 0.919554329416, 6.96605367853
严, 1.73076470995, 7.47620059387
丧, 2.7012546679, 6.55719284436
个, 1.52646721451, 5.83938732586
丫, 1.81246580452, 5.64096153159
中, 1.07664565526, 5.88103508324
丰, 2.04841649279, 6.0031592325
串, 1.29246083136, 5.81978117785
临, 0.891007334907, 6.71229452814
丸, 3.04974490697, 7.18955799195
丹, 2.02829440435, 7.01882141715
为, 1.15850864519, 7.48865795686
主, 1.92690397765, 5.49511872818
丽, 1.81412502672, 7.37303341086
举, 2.02244787718, 6.152267898
乃, 1.47467021419, 6.35936234756
久, 1.55946104968, 7.60158068353
么, 2.95009523703, 6.28834177865
义, 2.9376180137, 6.30096066011
之, 2.25786616954, 6.74104207934
乌, 1.09615047089, 7.18379368385
乎, 1.8708672158, 5.85445925213
乏, 1.90153266773, 7.60478419721
乐, 2.04593569883, 5.82718589776
乒, 2.62694241825, 7.86614453818
乓, 2.62692442742, 7.87458858348
乔, 1.75999809241, 6.06117777689
乖, 1.26022323525, 5.6619594589
乘, 1.34725167213, 6.433544838
乙, 0.222620750264, 6.47966441207
九, 2.16516002357, 6.24166192737
乞, 2.310318959, 7.1455928834
也, 2.58622041124, 6.78431116043
习, 1.11846946347, 8.11203337552
乡, 1.40000437099, 6.78534599877
书, 2.63566918194, 7.32289187321
买, 2.21758963249, 6.22528415201
乱, 1.11237048917, 7.52981673728
乳, 0.642051854409, 7.23094255095
乾, 2.16500103118, 6.89102723942
了, 1.50269608399, 5.56302949699
予, 1.59668763487, 5.68436933579
争, 0.520758093913, 6.33672740897
事, 1.76745077406, 6.98999195439
